CMPLNT_NUM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,ADDR_PCT_CD,RPT_DT,KY_CD,OFNS_DESC,PD_CD,PD_DESC,CRM_ATPT_CPTD_CD,LAW_CAT_CD,BORO_NM,LOC_OF_OCCUR_DESC,PREM_TYP_DESC,JURIS_DESC,PARKS_NM,HADEVELOPT,X_COORD_CD,Y_COORD_CD,Latitude,Longitude
229518313,7/1/2019,18:00:00,,,100,7/21/2019,341,PETIT LARCENY,333,"LARCENY,PETIT FROM STORE-SHOPL",COMPLETED,MISDEMEANOR,QUEENS,FRONT OF,OTHER,U.S. PARK POLICE,,,1035354,152907,40.58623141,-73.81601112
113725799,1/18/2018,0:01:00,,,49,7/21/2019,233,SEX CRIMES,175,"SEXUAL ABUSE 3,2",COMPLETED,MISDEMEANOR,BRONX,INSIDE,OTHER,N.Y. POLICE DEPT,,,1027295,251236,40.85616296,-73.84439712
263446284,7/20/2019,18:30:00,,,112,7/20/2019,341,PETIT LARCENY,339,"LARCENY,PETIT FROM OPEN AREAS",COMPLETED,MISDEMEANOR,QUEENS,,STREET,N.Y. POLICE DEPT,,,1027498,202160,40.72146173,-73.84397927
500316365,7/20/2019,11:00:00,7/20/2019,12:14:00,44,7/20/2019,107,BURGLARY,231,"BURGLARY,TRUCK DAY",COMPLETED,FELONY,BRONX,FRONT OF,STREET,N.Y. POLICE DEPT,,,1004383,245121,40.83946106,-73.92724052
311000709,7/20/2019,2:05:00,7/20/2019,2:11:00,47,7/20/2019,106,FELONY ASSAULT,105,STRANGULATION 1ST,COMPLETED,FELONY,BRONX,INSIDE,RESIDENCE-HOUSE,N.Y. POLICE DEPT,,,1025067,260619,40.88192698,-73.852394
270691122,7/19/2019,23:04:00,,,52,7/20/2019,344,ASSAULT 3 & RELATED OFFENSES,101,ASSAULT 3,COMPLETED,MISDEMEANOR,BRONX,INSIDE,GROCERY/BODEGA,N.Y. POLICE DEPT,,,1013659,255593,40.86817755,-73.89367103
617640537,7/19/2019,12:00:00,,,52,7/19/2019,578,HARRASSMENT 2,637,"HARASSMENT,SUBD 1,CIVILIAN",COMPLETED,VIOLATION,BRONX,,STREET,N.Y. POLICE DEPT,,,1016855,261049,40.88314135,-73.88208911
750838924,7/19/2019,10:33:00,,,43,7/19/2019,340,FRAUDS,707,"IMPERSONATION 2, PUBLIC SERVAN",COMPLETED,MISDEMEANOR,BRONX,,STREET,N.Y. POLICE DEPT,,,1021614,241718,40.83006473,-73.86498649
754850220,7/19/2019,3:17:00,7/19/2019,3:20:00,48,7/19/2019,118,DANGEROUS WEAPONS,792,WEAPONS POSSESSION 1 & 2,COMPLETED,FELONY,BRONX,,STREET,N.Y. POLICE DEPT,,,1015202,245282,40.83987167,-73.88813981
731173629,7/18/2019,19:30:00,,,44,7/19/2019,341,PETIT LARCENY,338,"LARCENY,PETIT FROM BUILDING,UN",COMPLETED,MISDEMEANOR,BRONX,,FAST FOOD,N.Y. POLICE DEPT,,,1006922,245454,40.8403689,-73.91806342
848832229,7/17/2019,17:30:00,7/17/2019,20:30:00,41,7/19/2019,341,PETIT LARCENY,321,"LARCENY,PETIT FROM AUTO",COMPLETED,MISDEMEANOR,BRONX,FRONT OF,STREET,N.Y. POLICE DEPT,,,1013605,235668,40.81348945,-73.89395348
392107517,7/17/2019,3:00:00,,,25,7/17/2019,106,FELONY ASSAULT,105,STRANGULATION 1ST,COMPLETED,FELONY,MANHATTAN,,STREET,N.Y. POLICE DEPT,,,1001320,233989,40.80891334,-73.93833856
297560757,7/16/2019,0:05:00,7/16/2019,0:15:00,71,7/16/2019,344,ASSAULT 3 & RELATED OFFENSES,101,ASSAULT 3,COMPLETED,MISDEMEANOR,BROOKLYN,INSIDE,HOMELESS SHELTER,OTHER,,,1000996,178614,40.65692324,-73.93964678
657895095,7/15/2019,19:00:00,,,44,7/16/2019,341,PETIT LARCENY,349,"LARCENY,PETIT OF LICENSE PLATE",COMPLETED,MISDEMEANOR,BRONX,,STREET,N.Y. POLICE DEPT,,,1003825,243897,40.83610279,-73.92926072
655177684,7/8/2019,22:30:00,7/12/2019,12:00:00,50,7/16/2019,341,PETIT LARCENY,357,"LARCENY,PETIT OF VEHICLE ACCES",COMPLETED,MISDEMEANOR,BRONX,OPPOSITE OF,STREET,N.Y. POLICE DEPT,,,1006454,260513,40.8817025,-73.91970492
644166239,7/15/2019,19:30:00,,,101,7/15/2019,578,HARRASSMENT 2,637,"HARASSMENT,SUBD 1,CIVILIAN",COMPLETED,VIOLATION,QUEENS,FRONT OF,STREET,N.Y. POLICE DEPT,,,1052323,159846,40.60516342,-73.7548478
535114570,7/15/2019,10:00:00,,,75,7/15/2019,578,HARRASSMENT 2,638,"HARASSMENT,SUBD 3,4,5",COMPLETED,VIOLATION,BROOKLYN,INSIDE,RESIDENCE-HOUSE,N.Y. POLICE DEPT,,,1017399,183092,40.66916814,-73.88050637
129774032,7/15/2019,9:35:00,7/15/2019,10:05:00,14,7/15/2019,361,OFF. AGNST PUB ORD SENSBLTY &,639,AGGRAVATED HARASSMENT 2,COMPLETED,MISDEMEANOR,MANHATTAN,INSIDE,,N.Y. POLICE DEPT,,,988595,212074,40.74877786,-73.98431994
252303966,7/15/2019,1:00:00,,,25,7/15/2019,101,MURDER & NON-NEGL. MANSLAUGHTER,,,COMPLETED,FELONY,,OUTSIDE,,N.Y. HOUSING POLICE,,,1002785,230463,40.79923249,-73.9330562
516688332,7/14/2019,22:00:00,,,44,7/15/2019,341,PETIT LARCENY,349,"LARCENY,PETIT OF LICENSE PLATE",COMPLETED,MISDEMEANOR,BRONX,,GAS STATION,N.Y. POLICE DEPT,,,1007027,245405,40.84023414,-73.91768411
175633043,6/28/2019,12:00:00,6/28/2019,12:05:00,25,7/15/2019,341,PETIT LARCENY,321,"LARCENY,PETIT FROM AUTO",COMPLETED,MISDEMEANOR,MANHATTAN,,STREET,N.Y. POLICE DEPT,,,1002895,229191,40.79574096,-73.93266243
779946711,7/14/2019,16:45:00,7/14/2019,16:50:00,44,7/14/2019,578,HARRASSMENT 2,638,"HARASSMENT,SUBD 3,4,5",COMPLETED,VIOLATION,BRONX,,STREET,N.Y. POLICE DEPT,,,1003608,241656,40.82995237,-73.93005138
679286099,7/14/2019,16:00:00,7/14/2019,16:13:00,1,7/14/2019,358,OFFENSES INVOLVING FRAUD,705,"FORGERY,ETC.-MISD.",ATTEMPTED,MISDEMEANOR,MANHATTAN,,OTHER,N.Y. POLICE DEPT,,,983277,201795,40.72056555,-74.00351161
507315413,7/14/2019,12:34:00,,,25,7/14/2019,341,PETIT LARCENY,333,"LARCENY,PETIT FROM STORE-SHOPL",COMPLETED,MISDEMEANOR,MANHATTAN,INSIDE,CHAIN STORE,N.Y. POLICE DEPT,,,1002996,229133,40.79558155,-73.93229781
431432414,7/14/2019,3:00:00,,,44,7/14/2019,344,ASSAULT 3 & RELATED OFFENSES,101,ASSAULT 3,COMPLETED,MISDEMEANOR,BRONX,INSIDE,STREET,N.Y. POLICE DEPT,,,1009486,243711,40.83557792,-73.90880353
789730894,7/13/2019,23:30:00,7/13/2019,23:32:00,48,7/14/2019,105,ROBBERY,384,"ROBBERY,POCKETBOOK/CARRIED BAG",COMPLETED,FELONY,BRONX,,STREET,N.Y. POLICE DEPT,,,1016741,249059,40.85023289,-73.88255951
157642791,7/12/2019,15:45:00,7/12/2019,16:00:00,75,7/13/2019,341,PETIT LARCENY,339,"LARCENY,PETIT FROM OPEN AREAS",COMPLETED,MISDEMEANOR,BROOKLYN,FRONT OF,STREET,N.Y. POLICE DEPT,,,1015300,184506,40.67305686,-73.88806629
964480858,7/12/2019,19:50:00,7/12/2019,19:50:00,106,7/12/2019,106,FELONY ASSAULT,109,"ASSAULT 2,1,UNCLASSIFIED",COMPLETED,FELONY,QUEENS,FRONT OF,STREET,N.Y. POLICE DEPT,,,1038091,186321,40.67792934,-73.80589053
667707642,7/12/2019,15:55:00,,,52,7/12/2019,235,DANGEROUS DRUGS,511,"CONTROLLED SUBSTANCE, POSSESSI",COMPLETED,MISDEMEANOR,BRONX,,STREET,N.Y. POLICE DEPT,,,1013169,255021,40.86660921,-73.89544513
